Code,Fluggesellschaft,Land,Bemerkung
QD,Transbrasil,Brasilien,Code QD verwendet bis 1982 (danach TR)
QF,JetConnect,Neuseeland,
QF,Qantas Airways,Australien,
QG,Citilink,Indonesien,
QH,Air Kyrgyzstan,Kirgisistan,
QJ,Jetways Airways,USA,
QK,Jazz Aviation,Kanada,
QL,LASER Airlines,Venezuela,
QM,Monacair,Monaco,
QO,Quikjet Cargo Airlines,Indien,
QQ,Alliance Airlines,Australien,
QR,Qatar Airways,Katar,
QS,Smart Wings,Tschechien,
QS,Travel Service,Tschechien,
QT,Avianca Cargo,Kolumbien,
QU,Azur Air Ukraine,Ukraine,
QV,Lao Airlines,Laos,
QW,Qingdao Airlines,China,
QX,Horizon Air,USA,
QY,European Air Transport,Deutschland,
QZ,Indonesia AirAsia,Indonesien,
R2,Orenburg Airlines,Russland,
R3,Yakutia Airlines,Russland,
R4,Rossija,Russland,neuer Code: FV
R4,RUS Aviation,Vereinigte Arabische Emirate,
R5,Jordan Aviation,Jordanien,
R6,DOT LT,Litauen,
R7,ASERCA Airlines,Venezuela,
RA,Nepal Airlines,Nepal,
RB,Syrian Arab Airlines,Syrien,
RC,Atlantic Airways,Färöer,
RF,Florida West International,USA,
RG,Rotana Jet,Vereinigte Arabische Emirate,
RJ,Royal Jordanian (Alia),Jordanien,
RK,R Airlines,Thailand,
RL,Royal Flight Airlines,Russland,
RN,Rayani Air,Malaysia,
RO,TAROM,Rumänien,
RQ,Kam Air,Afghanistan,
RT,Rainbow Airlines,Simbabwe,
RU,AirBridgeCargo,Russland,
RV,Air Canada rouge,Kanada,
RX,Regent Airways,Bangladesch,
RY,Jiangxi Air,China,
RY,Royal Wings,Jordanien,
RZ,Sansa Airlines,Costa Rica,
S3,Santa Barbara Airlines,Venezuela,
S4,SATA International,Portugal,
S5,Shuttle America,USA,
S5,Small Planet Airlines (Litauen),Litauen,
S6,Sunrise Airways,Haiti,
S7,S7 Airlines,Russland,
S8,Sky Capital Airlines,Bangladesch,
S8,Sounds Air,Neuseeland,
S9,Silk Road Cargo Business,Usbekistan,
S9,Starbow,Ghana,
SA,South African Airways,Südafrika,
SB,Aircalin,New Caledonia,
SC,Shandong Airlines,China,
SD,Sudan Airways,Sudan,
SE,XL Airways France,Frankreich,
SF,Tassili Airlines,Algerien,
SG,SpiceJet,Indien,
SH,Sharp Airlines,Australien,
SI,Blue Islands,Guernsey,
SI,Sierra Pacific Airlines,USA,
SJ,Sriwijaya Air,Indonesien,
SK,SAS Scandinavian Airlines,"Dänemark, Norwegen, Schweden",
SL,Thai Lion Air,Thailand,
SM,Air Cairo,Ägypten,
SN,Brussels Airlines,Belgien,
SO,APEX Airlines,Myanmar,
SP,SATA Air Açores,Portugal,
SQ,Singapore Airlines,Singapur,
SQ,Singapore Airlines Cargo,Singapur,
SS,Corsair International,Frankreich,
ST,Germania,Deutschland,
SU,Aeroflot,Russland,
SV,Saudi Arabian Airlines (Saudia),Saudi-Arabien,
SW,Air Namibia,Namibia,
SX,SkyWork Airlines,Schweiz,
SY,Skippers Aviation,Australien,neuer Code: JW
SY,Sun Country Airlines,USA,
SZ,Somon Air,Tadschikistan,
T0,Avianca Perú,Peru,
T3,Eastern Airways,Vereinigtes Königreich,
T4,Rhoades Aviation,USA,
T5,Turkmenistan Airlines,Turkmenistan,
T6,AirSWIFT,Philippinen,
T7,Transcarga International Airways,Venezuela,
T7,Twin Jet,Frankreich,
T8,MCS Aerocarga,Mexiko,
TA,Avianca El Salvador,El Salvador,
TB,Jetairfly,Belgien,
TC,Air Tanzania,Tansania,
TE,SkyTaxi,Polen,
TF,Malmö Aviation,Schweden,
TG,Thai Airways International,Thailand,
TH,Raya Airways,Malaysia,
TI,Tailwind Airlines,Türkei,
TJ,Tradewind Aviation,USA,
TK,Turkish Airlines,Türkei,
TL,Airnorth,Australien,
TM,Linhas Aéreas de Moçambique,Moçambique,
TN,Air Tahiti Nui,Französisch-Polynesien,
TO,Transavia France,Frankreich,
TP,TAP Portugal,Portugal,
TQ,Tandem Aero,Moldawien,
TR,Tiger Airways,Singapur,
TS,Air Transat,Kanada,
TT,Tiger Airways Australia,Australien,
TU,Tunisair,Tunesien,
TV,Tibet Airlines,China,
TV,T'way Airlines,Südkorea,
TX,Air Caraïbes,Frankreich,
TY,Air Calédonie,Frankreich,
TZ,Scoot,Singapur,
U2,EasyJet Airline,Vereinigtes Königreich,
U4,Buddha Air,Nepal,
U5,Karinou Airlines,Zentralafrikanische Republik,
U6,Ural Airlines,Russland,
U8,TUS Airways,Zypern,
UA,United Airlines,USA,
UB,Myanmar National Airlines,Myanmar,
UC,LAN Cargo,Chile,
UD,Hex’Air,Frankreich,
UE,Ultimate Air Shuttle,USA,
UG,Tunisair Express,Tunesien,
UH,AtlasGlobal Ukraine,Ukraine,
UI,Auric Air Services,Tansania,
UJ,AlMasria Universal Airlines,Ägypten,
UJ,USA Jet Airlines,USA,
UK,Vistara,Indien,
UL,SriLankan Airlines,Sri Lanka,
UM,Air Zimbabwe,Simbabwe,
UP,Bahamasair,Bahamas,
UO,Hong Kong Express Airways,Hongkong,
UQ,Urumqi Air,China,
UR,Ukraine International Airlines,Ukraine,neuer Code: PS
UT,UTair,Russland,
UU,Air Austral,Frankreich,
UV,Universal Airways,USA,
UX,Air Europa,Spanien,
V0,Conviasa,Venezuela,
V2,Avialeasing Aviation,Usbekistan,
V3,Carpatair,Rumänien,
V4,South Airlines,Ukraine,geänderter Code: YG
V4,Venescar Internacional,Venezuela,
V6,Aero VIP,Ecuador,2012 Fusion mit AeroGal zu Avianca Ecuador
V6,VI Airlink,British Virgin Islands,
V7,Volotea,Spanien,
V8,ATRAN,Russland,
V8,Iliamna Air Taxi,USA,
VA,Virgin Australia,Australien,
VA,Virgin Australia Regional Airlines,Australien,
VB,Maersk Air,Dänemark,neuer Code: DM
VB,Viva Aerobus,Mexiko,
VC,Via Airlines,USA,
VD,Air Liberté,Frankreich,neuer Code: IJ
VG,VLM Airlines,Belgien,
VH,Aeropostal,Venezuela,
VI,Volga-Dnepr Airlines,Ukraine,
VJ,VietJet Air,Vietnam,
VK,Air Vallée,Italien,
VL,Air Via,Bulgarien,
VL,Med-View Airline,Nigeria,
VM,Max Air,Nigeria,
VN,Vietnam Airlines,Vietnam,
VO,Tyrolean Airways,Österreich,jetzt Austrian Arrows mit OS-Flugnummern
VP,Villa Air,Malediven,
VQ,Novoair,Bangladesch,
VR,TACV Cabo Verde Airlines,Kapverden,
VS,Virgin Atlantic,Vereinigtes Königreich,
VT,Air Tahiti,Frankreich,
VU,Veca Airlines,El Salvador,
VW,Aeromar,Mexiko,
VX,Virgin America,USA,
VY,Vueling Airlines,Spanien,
VZ,Aero VIP,Uruguay,
VZ,Thai Vietjet Air,Thailand,
W2,FlexFlight ApS,Dänemark,
W3,Arik Air,Nigeria,
W4,LC Perú,Peru,
W5,Mahan Air,Iran,
W6,Wizz Air,Ungarn,
W7,Wings of Lebanon,Libanon,
W8,Cargojet Airways,Kanada,
W9,Air Bagan,Myanmar,
WA,KLM Cityhopper,Niederlande,
WB,RwandAir,Ruanda,
WC,Isleña Airlines,Honduras,
WE,Centurion Air Cargo,USA,
WE,Thai Smile Airways,Thailand,
WF,Widerøe’s Flyveselskap,Norwegen,
WG,Sunwing Airlines,Kanada,
WH,Westair Bénin,Benin,
WI,Sky Lease Cargo,USA,neuer Code: GG
WI,White Airways,Portugal,
WJ,Air Labrador,Kanada,
WK,Edelweiss Air,Schweiz,
WM,Winair,Niederländische Antillen,
WN,Southwest Airlines,USA,
WP,Island Air,USA,
WQ,Swift Air,USA,
WR,WestJet Encore,Kanada,
WS,Westjet Airlines,Kanada,
WT,Swiftair,Spanien,
WV,Aero VIP,Portugal,
WW,WOW air,Island,
WX,Cityjet,Irland,
WY,Oman Air,Oman,
WZ,Red Wings Airlines,Russland,
X3,Hapag-Lloyd Express,Deutschland,jetzt TUIfly
X3,TUIfly,Deutschland,
X4,Air Excursion,USA,
X7,Exec Air,Nepal,
X7,Zambia Skyways,Sambia,neuer Code: K8
X9,Avion Express,Litauen,
X9,Khors Air Company,Ukraine,neuer Code: KO
X9,Omni Air International,USA,neuer Code: OY
X9,Avion Express,Litauen,
XC,Corendon Airlines,Türkei,
XG,Sunexpress Deutschland,Deutschland,
XJ,Thai AirAsia X,Thailand,
XK,Air Corsica,Frankreich,
XL,LAN Ecuador,Ecuador,
XO,South East Asian Airlines International,Philippinen,
XQ,Sunexpress,Türkei,
XR,Virgin Australia Regional Airlines,Australien,neuer Code: VA
XT,Indonesia AirAsia X,Indonesien,
XU,African Express Airways,Kenia,
XW,NokScoot,Thailand,
XY,Flynas,Saudi-Arabien,
XZ,South African Express Airways,Südafrika,
Y2,Air Century,Dominikanische Republik,
Y4,Volaris,Mexiko,
Y5,Golden Myanmar Airlines,Myanmar,
Y6,AB Aviation,Komoren,
Y6,Europe Elite,Vereinigtes Königreich,"2001 aufgelöst, Betrieb nie aufgenommen"
Y7,NordStar,Russland,
Y8,Passaredo Linhas Aéreas,Brasilien,neuer Code: 2Z
Y8,Yangtze River Express,China,
Y9,Kish Air,Iran,
YB,Borajet,Türkei,
YB,South African Express Airways,Südafrika,neuer Code: XZ
YC,Yamal Airlines,Russland,
YD,Synergy Aviation,Vereinigtes Königreich,
YE,Yanair,Ukraine,
YG,YTO Express Airlines,China,
YH,Sunsplash Aviation,USA,
YH,Yangon Airways,Myanmar,
YI,Yunnan Ying'An Airlines,China,
YJ,Asian Wings Airways,Myanmar,
YK,Avia Traffic Company,Kirgisistan,
YL,Libyan Wings,Libyen,
YL,Yamal Airlines,Russland,neuer Code: YC
YM,Montenegro Airlines,Montenegro,
YN,Air Creebec,Kanada,
YO,Heli Air Monaco,Monaco,
YP,Perimeter Aviation,Kanada,
YR,Scenic Airlines,USA,
YS,HOP!-Régional,,
YU,EuroAtlantic Airways,Portugal,
YV,Mesa Airlines,USA,
YW,Air Nostrum,Spanien,
YX,Republic Airlines,USA,
YX,Alas Uruguay,Uruguay,
Z2,AirAsia Zest,Philippinen,
Z3,PM Air,USA,
Z4,Zagrosjet,Irak,
Z5,Global Africa Aviation,Simbabwe,
Z6,Dniproavia,Ukraine,
Z8,Línea Aérea Amaszonas,Bolivien,
Z8,Pulkovo Aviation Enterprise,Russland,neuer Code: FV
Z9,Bek Air,Kasachstan,
ZA,Sky Angkor Airlines,Kambodscha,
ZD,EWA Air,Frankreich,
ZE,Eastar Jet,Südkorea,
ZF,Azur Air,Russland,
ZF,Safari Express Cargo,Kenia,
ZG,Groznyy Avia,Russland,
ZH,Shenzhen Airlines,China,
ZI,Aigle Azur,Frankreich,
ZK,Great Lakes Airlines,USA,
ZK,ZetAvia,Ukraine,
ZL,Hazelton Airlines,Australien,jetzt Regional Express Airlines
ZL,Regional Express (Fluggesellschaft),Australien,
ZM,Air Manas,Kirgisistan,
ZN,Naysa,Spanien,
ZP,Air St. Thomas,USA,
ZP,Amaszonas del Paraguay,Paraguay,
ZP,Silk Way Airlines,Aserbaidschan,
ZQ,Azman Air,Nigeria,
ZQ,JetConnect,Neuseeland,neuer Code:QF
ZR,Aviacon Zitotrans,Russland,
ZT,Titan Airways,Vereinigtes Königreich,
ZV,V Air,Taiwan,
ZW,Air Wisconsin,USA,
ZX,Air Georgian,Kanada,
